LPSP_X,LPSP_Y,LPSP_Z,LPSP_Yaw,LPSP_VX,LPSP_VY,LPSP_VZ,LPSP_AX,LPSP_AY,LPSP_AZ
-4.661203384399414,5.026113986968994,-0.26044762134552,2.4998064041137695,0.11949825286865234,-0.09521961212158203,-1.0,0.1746726781129837,-0.2384544312953949,-6.371004104614258
-4.661215305328369,5.026106357574463,-0.28123682737350464,2.4998064041137695,0.12034845352172852,-0.09229803085327148,-1.0,0.16771216690540314,-0.2418007105588913,-6.370491981506348
-4.661226749420166,5.026099681854248,-0.30105745792388916,2.4998064041137695,0.12075281143188477,-0.08975505828857422,-1.0,0.16097065806388855,-0.24802948534488678,-6.37322998046875
-4.661238670349121,5.026092529296875,-0.31926098465919495,2.4998064041137695,0.12052536010742188,-0.0879673957824707,-1.0,0.1550702601671219,-0.25101348757743835,-6.377483367919922
-4.661255836486816,5.026081562042236,-0.3448931574821472,2.4998064041137695,0.11963176727294922,-0.08583641052246094,-1.0,0.15051217377185822,-0.2568538188934326,-6.386077880859375
-4.66126823425293,5.026074409484863,-0.36381953954696655,2.4998064041137695,0.11851644515991211,-0.08459663391113281,-1.0,0.14636927843093872,-0.25521692633628845,-6.385030269622803
-4.661279678344727,5.02606725692749,-0.381856232881546,2.4998064041137695,0.117218017578125,-0.08352231979370117,-1.0,0.14544343948364258,-0.2565062344074249,-6.3935322761535645
-4.661291599273682,5.026060104370117,-0.3998747766017914,2.4998064041137695,0.1155996322631836,-0.08244514465332031,-1.0,0.14325182139873505,-0.25701063871383667,-6.397815704345703
-4.661308765411377,5.0260491371154785,-0.4271516799926758,2.4998064041137695,0.11287879943847656,-0.08085298538208008,-1.0,0.1436617523431778,-0.2523908317089081,-6.401415824890137
-4.661320686340332,5.0260419845581055,-0.4472138285636902,2.4998064041137695,0.11090087890625,-0.07982110977172852,-1.0,0.1448601335287094,-0.24865108728408813,-6.405670166015625
-4.661332607269287,5.026034832000732,-0.4754089415073395,2.4998064041137695,0.10851287841796875,-0.07875251770019531,-1.0,0.14373475313186646,-0.24814356863498688,-6.405728340148926
-4.661350250244141,5.026024341583252,-0.501310408115387,2.4998064041137695,0.10569190979003906,-0.0771031379699707,-1.0,0.14313744008541107,-0.24097901582717896,-6.414088249206543
-4.6613616943359375,5.026016712188721,-0.522067129611969,2.4998064041137695,0.10355520248413086,-0.07544755935668945,-1.0,0.14320144057273865,-0.24158017337322235,-6.4167070388793945
-4.661379337310791,5.026005744934082,-0.5580151677131653,2.4998064041137695,0.10016727447509766,-0.07245588302612305,-1.0,0.14444699883460999,-0.22996869683265686,-6.419071674346924
-4.661390781402588,5.025998592376709,-0.5783165097236633,2.4998064041137695,0.09800291061401367,-0.07034111022949219,-1.0,0.1419684886932373,-0.2266796976327896,-6.427104949951172
-4.661401748657227,5.025991439819336,-0.5978992581367493,2.4998064041137695,0.09589576721191406,-0.06811666488647461,-1.0,0.13934734463691711,-0.22345370054244995,-6.426411151885986
-4.661468982696533,5.025948524475098,-0.7189356088638306,2.4998064041137695,0.08315563201904297,-0.053127288818359375,-1.0,0.11692390590906143,-0.21331754326820374,-6.448704242706299
-4.661544322967529,5.025898456573486,-0.8583640456199646,2.4998064041137695,0.06257152557373047,-0.03772449493408203,-1.0,0.07158807665109634,-0.22686034440994263,-6.451215744018555
-4.661609172821045,5.02585506439209,-0.9814075231552124,2.4998064041137695,0.038616180419921875,-0.029930591583251953,-1.0,0.02659682370722294,-0.2470148354768753,-6.439017295837402
-4.661684513092041,5.0258049964904785,-1.1403627395629883,2.4998064041137695,0.00519561767578125,-0.02651214599609375,-1.0,-0.01592004857957363,-0.2534131109714508,-6.421636581420898
-4.661748886108398,5.025761604309082,-1.2870922088623047,2.4998064041137695,-0.022450923919677734,-0.026046276092529297,-1.0,-0.029405299574136734,-0.2553652822971344,-6.4190897941589355
-4.661759853363037,5.025754451751709,-1.3110679388046265,2.4998064041137695,-0.026741981506347656,-0.025980472564697266,-1.0,-0.028258657082915306,-0.25474128127098083,-6.42311954498291
-4.661770820617676,5.025747299194336,-1.3345445394515991,2.4998064041137695,-0.031046390533447266,-0.02589559555053711,-1.0,-0.029724685475230217,-0.2568666338920593,-6.420779228210449
-4.661787033081055,5.0257368087768555,-1.3676968812942505,2.4998064041137695,-0.036614418029785156,-0.025806427001953125,-1.0,-0.030990812927484512,-0.2573964297771454,-6.417004585266113
-4.661797523498535,5.025729656219482,-1.3970764875411987,2.4998064041137695,-0.040396690368652344,-0.025542736053466797,-1.0,-0.028061646968126297,-0.25578513741493225,-6.419811725616455
-4.661813735961914,5.025719165802002,-1.428229808807373,2.4998064041137695,-0.04462242126464844,-0.025205612182617188,-1.0,-0.024674363434314728,-0.25471898913383484,-6.420498847961426
-4.661813735961914,5.025719165802002,-1.428229808807373,2.4998064041137695,-0.04462242126464844,-0.025205612182617188,-1.0,-0.024674363434314728,-0.25471898913383484,-6.420498847961426
-4.661824703216553,5.025712490081787,-1.4525614976882935,2.4998064041137695,-0.04706525802612305,-0.024734973907470703,-1.0,-0.020257698372006416,-0.25346094369888306,-6.420620441436768
